times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
75.8|1.0|0.0|0.0|-126729.90000870633|-126729.73604681292
76.0|1.0|0.0|0.0|-126927.56237743846|-126926.72995551807
76.2|1.0|0.0|0.0|-126673.82728810297|-126673.02009108926
76.4|1.0|0.0|0.0|-126588.25179219642|-126587.00315931582
76.6|1.0|0.0|0.0|-126338.3923712599|-126337.83742331297
76.8|1.0|0.0|0.0|-126450.37078019606|-126450.24465566265
77.0|1.0|0.0|0.0|-126625.75452148748|-126625.22479844723
77.2|1.0|0.0|0.0|-126705.15464305929|-126704.41050831228
77.4|1.0|0.0|0.0|-126553.61923731085|-126552.81204029715
77.6|1.0|0.0|0.0|-126561.67458489182|-126561.37188601168
77.8|1.0|0.0|0.0|-126408.90226521007|-126408.09506819636
78.0|1.0|0.0|0.0|-126550.8175901829|-126550.54011620942
78.2|1.0|0.0|0.0|-126690.12213731448|-126688.89872934058
78.4|1.0|0.0|0.0|-126698.63895674527|-126698.23535823841
78.6|1.0|0.0|0.0|-126202.96439352512|-126202.61124483163
78.8|1.0|0.0|0.0|-126426.80340101353|-126425.88269191977
79.0|1.0|0.0|0.0|-126426.3909042557|-126425.98730574884
79.2|1.0|0.0|0.0|-126634.46554436373|-126632.93943750969
79.4|1.0|0.0|0.0|-126527.06742567735|-126526.29806602365
